dataset,dimensions,vertices,cxx_supernodes,cxx_superarcs,superarc_vertex_ratio,supernode_vertex_ratio,cxx_computation_time_s
nucleon,41x41x41,68921,579,578,0.00838641,0.00840092,0.014192
marschner_lobb,41x41x41,68921,1506,1505,0.02183660,0.02185110,0.015162
silicium,34x98x34,113288,458,457,0.00403397,0.00404279,0.027394
fuel,64x64x64,262144,344,343,0.00130844,0.00131226,0.042270
neghip,64x64x64,262144,2242,2241,0.00854874,0.00855255,0.059037
hydrogen,128x128x128,2097152,13593,13592,0.00648117,0.00648165,0.381835
shockwave,64x64x512,2097152,1133,1132,0.00053978,0.00054026,0.330942
lobster,324x301x56,5461344,323349,323348,0.05920667,0.05920685,2.382229
engine,256x256x128,8388608,467702,467701,0.05575430,0.05575442,3.948203
statue_leg,341x341x93,10814133,353877,353876,0.03272347,0.03272357,2.906500
boston_teapot,256x256x178,11665408,93330,93329,0.00800049,0.00800058,2.677988
aneurysm,256x256x256,16777216,54197,54196,0.00323033,0.00323039,2.684955
bonsai,256x256x256,16777216,179627,179626,0.01070654,0.01070660,4.600415
foot,256x256x256,16777216,719091,719090,0.04286110,0.04286116,7.780082
skull,256x256x256,16777216,1710477,1710476,0.10195231,0.10195237,13.580763
